"timeMillisSpent","score"
31718,"0hard/-2106500soft"
31820,"0hard/-2106110soft"
31898,"0hard/-2105630soft"
31933,"0hard/-2105170soft"
31940,"0hard/-2104650soft"
31953,"0hard/-2103990soft"
31956,"0hard/-2103640soft"
31991,"0hard/-2102940soft"
32007,"0hard/-2102590soft"
32047,"0hard/-2101930soft"
32061,"0hard/-2101580soft"
32091,"0hard/-2101230soft"
32131,"0hard/-2100840soft"
32136,"0hard/-2100490soft"
32371,"0hard/-2099760soft"
32374,"0hard/-2098790soft"
32386,"0hard/-2098270soft"
32403,"0hard/-2097880soft"
32415,"0hard/-2097100soft"
32419,"0hard/-2096540soft"
32426,"0hard/-2096150soft"
32433,"0hard/-2095660soft"
32479,"0hard/-2095310soft"
32490,"0hard/-2094920soft"
32501,"0hard/-2094400soft"
32511,"0hard/-2093910soft"
32531,"0hard/-2093560soft"
32563,"0hard/-2093180soft"
32569,"0hard/-2092830soft"
32584,"0hard/-2092440soft"
32618,"0hard/-2092050soft"
32647,"0hard/-2091470soft"
32698,"0hard/-2090990soft"
32712,"0hard/-2090120soft"
32727,"0hard/-2089770soft"
32734,"0hard/-2089730soft"
32740,"0hard/-2089380soft"
32750,"0hard/-2089030soft"
32777,"0hard/-2088470soft"
32816,"0hard/-2088020soft"
32829,"0hard/-2087670soft"
32833,"0hard/-2087640soft"
32849,"0hard/-2086770soft"
32857,"0hard/-2086250soft"
32879,"0hard/-2085730soft"
32906,"0hard/-2085380soft"
32913,"0hard/-2085030soft"
32918,"0hard/-2084680soft"
32932,"0hard/-2084200soft"
32953,"0hard/-2082730soft"
32959,"0hard/-2082240soft"
33006,"0hard/-2081820soft"
33011,"0hard/-2081300soft"
33014,"0hard/-2081270soft"
33055,"0hard/-2080400soft"
33090,"0hard/-2079880soft"
33107,"0hard/-2079530soft"
33137,"0hard/-2079180soft"
33150,"0hard/-2078790soft"
33156,"0hard/-2078440soft"
33164,"0hard/-2077920soft"
33167,"0hard/-2077460soft"
33177,"0hard/-2077290soft"
33187,"0hard/-2076840soft"
33195,"0hard/-2075440soft"
33213,"0hard/-2074920soft"
33219,"0hard/-2074460soft"
33238,"0hard/-2074070soft"
33262,"0hard/-2073680soft"
33278,"0hard/-2073330soft"
33291,"0hard/-2072730soft"
33314,"0hard/-2072640soft"
33340,"0hard/-2072290soft"
33365,"0hard/-2071840soft"
33378,"0hard/-2070970soft"
33393,"0hard/-2070640soft"
33450,"0hard/-2070470soft"
33552,"0hard/-2068870soft"
33560,"0hard/-2068450soft"
33567,"0hard/-2068070soft"
33576,"0hard/-2067590soft"
33588,"0hard/-2067240soft"
33600,"0hard/-2066930soft"
33617,"0hard/-2066060soft"
33620,"0hard/-2065540soft"
33656,"0hard/-2065020soft"
33672,"0hard/-2064630soft"
33703,"0hard/-2064280soft"
33721,"0hard/-2063930soft"
33863,"0hard/-2063860soft"
33872,"0hard/-2063410soft"
33876,"0hard/-2063060soft"
33898,"0hard/-2062670soft"
33945,"0hard/-2062650soft"
33963,"0hard/-2062300soft"
33967,"0hard/-2062120soft"
33970,"0hard/-2061770soft"
33988,"0hard/-2061250soft"
33996,"0hard/-2060900soft"
34019,"0hard/-2060550soft"
34028,"0hard/-2060480soft"
34041,"0hard/-2060130soft"
34059,"0hard/-2059680soft"
34063,"0hard/-2059330soft"
34081,"0hard/-2058810soft"
34097,"0hard/-2058430soft"
34113,"0hard/-2057950soft"
34121,"0hard/-2057520soft"
34130,"0hard/-2057170soft"
34135,"0hard/-2056780soft"
34146,"0hard/-2055910soft"
34184,"0hard/-2055310soft"
34189,"0hard/-2054890soft"
34304,"0hard/-2054830soft"
34322,"0hard/-2054480soft"
34328,"0hard/-2054130soft"
34337,"0hard/-2053740soft"
34346,"0hard/-2053040soft"
34354,"0hard/-2052460soft"
34366,"0hard/-2052110soft"
34394,"0hard/-2051690soft"
34406,"0hard/-2051340soft"
34418,"0hard/-2050860soft"
34438,"0hard/-2050480soft"
34514,"0hard/-2050440soft"
34536,"0hard/-2050090soft"
34539,"0hard/-2049960soft"
34553,"0hard/-2049510soft"
34570,"0hard/-2049060soft"
34585,"0hard/-2048580soft"
34591,"0hard/-2048230soft"
34608,"0hard/-2047880soft"
34618,"0hard/-2047530soft"
34624,"0hard/-2047010soft"
34651,"0hard/-2046590soft"
34666,"0hard/-2046240soft"
34676,"0hard/-2045890soft"
34706,"0hard/-2045290soft"
34753,"0hard/-2044940soft"
34757,"0hard/-2044590soft"
34762,"0hard/-2044240soft"
34831,"0hard/-2043620soft"
34835,"0hard/-2043230soft"
34861,"0hard/-2043190soft"
34877,"0hard/-2043120soft"
34922,"0hard/-2042600soft"
34925,"0hard/-2041900soft"
34935,"0hard/-2041550soft"
34961,"0hard/-2040890soft"
34966,"0hard/-2040540soft"
34974,"0hard/-2039940soft"
35032,"0hard/-2039590soft"
35038,"0hard/-2039210soft"
35047,"0hard/-2038570soft"
35050,"0hard/-2038190soft"
35064,"0hard/-2037800soft"
35072,"0hard/-2037380soft"
35080,"0hard/-2036820soft"
35100,"0hard/-2036400soft"
35114,"0hard/-2036050soft"
35117,"0hard/-2035700soft"
35177,"0hard/-2034630soft"
35202,"0hard/-2034210soft"
35206,"0hard/-2033650soft"
35218,"0hard/-2033260soft"
35256,"0hard/-2032910soft"
35267,"0hard/-2032130soft"
35294,"0hard/-2031710soft"
35305,"0hard/-2031260soft"
35310,"0hard/-2030780soft"
35315,"0hard/-2030430soft"
35333,"0hard/-2030080soft"
35401,"0hard/-2029730soft"
35405,"0hard/-2029380soft"
35408,"0hard/-2029030soft"
35411,"0hard/-2028680soft"
35414,"0hard/-2028290soft"
35417,"0hard/-2028120soft"
35442,"0hard/-2028090soft"
35448,"0hard/-2027740soft"
35456,"0hard/-2027320soft"
35494,"0hard/-2026970soft"
35499,"0hard/-2026620soft"
35522,"0hard/-2026230soft"
35528,"0hard/-2026190soft"
35553,"0hard/-2025980soft"
35584,"0hard/-2025910soft"
35593,"0hard/-2025560soft"
35597,"0hard/-2025210soft"
35609,"0hard/-2024240soft"
35631,"0hard/-2024220soft"
35653,"0hard/-2023700soft"
35673,"0hard/-2023350soft"
35704,"0hard/-2023240soft"
35724,"0hard/-2022620soft"
35737,"0hard/-2022270soft"
35763,"0hard/-2021820soft"
35799,"0hard/-2021400soft"
35807,"0hard/-2020880soft"
35812,"0hard/-2020360soft"
35828,"0hard/-2020010soft"
35831,"0hard/-2019590soft"
35851,"0hard/-2019130soft"
35863,"0hard/-2018590soft"
35867,"0hard/-2018210soft"
35875,"0hard/-2017630soft"
35879,"0hard/-2016660soft"
35893,"0hard/-2016560soft"
35933,"0hard/-2016000soft"
35959,"0hard/-2015650soft"
35962,"0hard/-2015090soft"
35972,"0hard/-2014530soft"
35992,"0hard/-2014490soft"
36018,"0hard/-2014240soft"
36055,"0hard/-2013210soft"
36107,"0hard/-2012890soft"
36131,"0hard/-2012540soft"
36143,"0hard/-2012060soft"
36150,"0hard/-2011990soft"
36179,"0hard/-2011540soft"
36194,"0hard/-2011500soft"
36204,"0hard/-2011150soft"
36238,"0hard/-2011110soft"
36244,"0hard/-2011040soft"
36305,"0hard/-2011030soft"
36310,"0hard/-2010680soft"
36346,"0hard/-2009900soft"
36364,"0hard/-2009300soft"
36400,"0hard/-2009200soft"
36405,"0hard/-2008720soft"
36419,"0hard/-2008330soft"
36428,"0hard/-2008190soft"
36431,"0hard/-2007840soft"
36440,"0hard/-2007180soft"
36464,"0hard/-2006830soft"
36479,"0hard/-2006170soft"
36485,"0hard/-2006040soft"
36491,"0hard/-2005590soft"
36526,"0hard/-2005200soft"
36529,"0hard/-2004810soft"
36548,"0hard/-2004710soft"
36598,"0hard/-2004160soft"
36622,"0hard/-2003770soft"
36699,"0hard/-2003380soft"
36761,"0hard/-2003350soft"
36767,"0hard/-2003000soft"
36770,"0hard/-2002720soft"
36773,"0hard/-2002370soft"
36797,"0hard/-2001920soft"
36800,"0hard/-2001530soft"
36826,"0hard/-2001140soft"
36830,"0hard/-2000790soft"
36838,"0hard/-2000190soft"
36859,"0hard/-2000150soft"
36862,"0hard/-1999800soft"
36872,"0hard/-1999350soft"
36887,"0hard/-1999330soft"
36891,"0hard/-1998460soft"
36898,"0hard/-1997940soft"
36917,"0hard/-1997810soft"
36938,"0hard/-1997710soft"
36953,"0hard/-1997360soft"
36957,"0hard/-1997320soft"
