"timeMillisSpent","score"
1987,"0hard/-529680soft"
2022,"0hard/-529260soft"
2037,"0hard/-528740soft"
2068,"0hard/-528390soft"
2117,"0hard/-527970soft"
2149,"0hard/-527870soft"
2227,"0hard/-527480soft"
2275,"0hard/-527130soft"
2372,"0hard/-526680soft"
2387,"0hard/-526120soft"
2431,"0hard/-525730soft"
2462,"0hard/-525380soft"
2538,"0hard/-525030soft"
2631,"0hard/-524680soft"
2646,"0hard/-524330soft"
2679,"0hard/-523940soft"
2695,"0hard/-523550soft"
2823,"0hard/-523200soft"
2839,"0hard/-522720soft"
3026,"0hard/-522270soft"
3042,"0hard/-521920soft"
3079,"0hard/-521120soft"
3110,"0hard/-520770soft"
3126,"0hard/-520380soft"
3157,"0hard/-520340soft"
3204,"0hard/-520300soft"
3219,"0hard/-519880soft"
3266,"0hard/-519530soft"
3282,"0hard/-519180soft"
3361,"0hard/-518580soft"
3377,"0hard/-518230soft"
3393,"0hard/-517880soft"
3409,"0hard/-517490soft"
3504,"0hard/-517320soft"
3550,"0hard/-516900soft"
3568,"0hard/-516800soft"
3600,"0hard/-516450soft"
3693,"0hard/-516360soft"
3745,"0hard/-515470soft"
3761,"0hard/-515120soft"
3777,"0hard/-515090soft"
3855,"0hard/-514740soft"
3871,"0hard/-514390soft"
3970,"0hard/-514330soft"
4064,"0hard/-513980soft"
4143,"0hard/-511780soft"
4191,"0hard/-511740soft"
4208,"0hard/-511710soft"
4224,"0hard/-511360soft"
4240,"0hard/-510760soft"
4256,"0hard/-510410soft"
4288,"0hard/-510310soft"
4321,"0hard/-509420soft"
4336,"0hard/-509030soft"
4392,"0hard/-508160soft"
4453,"0hard/-507780soft"
4516,"0hard/-507300soft"
4533,"0hard/-507260soft"
4565,"0hard/-506510soft"
4645,"0hard/-506090soft"
4662,"0hard/-505700soft"
4693,"0hard/-505350soft"
4807,"0hard/-504670soft"
4855,"0hard/-504500soft"
4887,"0hard/-504460soft"
4951,"0hard/-504110soft"
4984,"0hard/-504050soft"
5001,"0hard/-503700soft"
5032,"0hard/-503680soft"
5068,"0hard/-503330soft"
5134,"0hard/-503290soft"
5181,"0hard/-503100soft"
5231,"0hard/-503060soft"
5278,"0hard/-502710soft"
5345,"0hard/-502360soft"
5378,"0hard/-501290soft"
5394,"0hard/-501190soft"
5427,"0hard/-501110soft"
5460,"0hard/-501020soft"
5493,"0hard/-500360soft"
5556,"0hard/-499840soft"
5573,"0hard/-499450soft"
5622,"0hard/-499100soft"
5654,"0hard/-498320soft"
5688,"0hard/-497840soft"
5823,"0hard/-497760soft"
5872,"0hard/-497410soft"
5952,"0hard/-496990soft"
5985,"0hard/-496500soft"
6017,"0hard/-496050soft"
6065,"0hard/-496010soft"
6082,"0hard/-495530soft"
6261,"0hard/-495050soft"
6277,"0hard/-494180soft"
6294,"0hard/-494160soft"
6361,"0hard/-493810soft"
6427,"0hard/-493130soft"
6443,"0hard/-492780soft"
6464,"0hard/-492770soft"
6496,"0hard/-492730soft"
6628,"0hard/-492380soft"
6711,"0hard/-492280soft"
6728,"0hard/-491680soft"
6760,"0hard/-491600soft"
6827,"0hard/-491560soft"
6860,"0hard/-491210soft"
6876,"0hard/-490690soft"
6929,"0hard/-489910soft"
6963,"0hard/-489560soft"
7093,"0hard/-489210soft"
7197,"0hard/-488860soft"
7230,"0hard/-488840soft"
7311,"0hard/-488140soft"
7345,"0hard/-488070soft"
7361,"0hard/-488030soft"
7393,"0hard/-487970soft"
7489,"0hard/-487190soft"
7523,"0hard/-487000soft"
7540,"0hard/-486800soft"
7673,"0hard/-486040soft"
7707,"0hard/-485840soft"
7811,"0hard/-485490soft"
7865,"0hard/-484890soft"
7897,"0hard/-484540soft"
7914,"0hard/-484190soft"
7965,"0hard/-483770soft"
8063,"0hard/-483390soft"
8080,"0hard/-483000soft"
8162,"0hard/-482870soft"
8245,"0hard/-482830soft"
8342,"0hard/-482730soft"
8376,"0hard/-482690soft"
8602,"0hard/-482310soft"
8787,"0hard/-482220soft"
8805,"0hard/-482120soft"
8856,"0hard/-481770soft"
8905,"0hard/-481420soft"
9106,"0hard/-481320soft"
9209,"0hard/-481240soft"
9312,"0hard/-480760soft"
9362,"0hard/-480410soft"
9430,"0hard/-480060soft"
9481,"0hard/-479400soft"
9549,"0hard/-479300soft"
9940,"0hard/-478950soft"
9975,"0hard/-478500soft"
9997,"0hard/-478400soft"
10063,"0hard/-477600soft"
10097,"0hard/-477120soft"
10132,"0hard/-477030soft"
10217,"0hard/-476410soft"
10252,"0hard/-475660soft"
10338,"0hard/-475640soft"
10510,"0hard/-475160soft"
10526,"0hard/-475040soft"
10561,"0hard/-474580soft"
10579,"0hard/-473980soft"
10700,"0hard/-473890soft"
10906,"0hard/-473810soft"
10941,"0hard/-473770soft"
10958,"0hard/-473740soft"
11010,"0hard/-473700soft"
11077,"0hard/-473510soft"
11094,"0hard/-473470soft"
11179,"0hard/-472910soft"
11443,"0hard/-472510soft"
11645,"0hard/-472470soft"
11799,"0hard/-472430soft"
12249,"0hard/-472390soft"
12384,"0hard/-472310soft"
12453,"0hard/-472270soft"
12554,"0hard/-472250soft"
12640,"0hard/-471900soft"
12781,"0hard/-471720soft"
13093,"0hard/-471600soft"
13314,"0hard/-471560soft"
13589,"0hard/-471160soft"
13774,"0hard/-471100soft"
13809,"0hard/-470540soft"
13880,"0hard/-470500soft"
13929,"0hard/-470150soft"
14015,"0hard/-470070soft"
14083,"0hard/-469870soft"
14148,"0hard/-469830soft"
14183,"0hard/-469760soft"
14201,"0hard/-469310soft"
14289,"0hard/-469270soft"
14549,"0hard/-469190soft"
14829,"0hard/-469150soft"
15034,"0hard/-469140soft"
15356,"0hard/-468760soft"
15702,"0hard/-468660soft"
15857,"0hard/-467980soft"
16146,"0hard/-467630soft"
16455,"0hard/-467540soft"
16475,"0hard/-467090soft"
16685,"0hard/-466740soft"
16859,"0hard/-466700soft"
16910,"0hard/-466670soft"
17065,"0hard/-466490soft"
17118,"0hard/-466410soft"
17151,"0hard/-466310soft"
17465,"0hard/-465930soft"
17603,"0hard/-465850soft"
17815,"0hard/-465680soft"
18383,"0hard/-465330soft"
18885,"0hard/-464770soft"
19158,"0hard/-464210soft"
19175,"0hard/-464130soft"
19300,"0hard/-463570soft"
19472,"0hard/-463150soft"
20693,"0hard/-462970soft"
21013,"0hard/-462850soft"
21645,"0hard/-462760soft"
21978,"0hard/-462680soft"
21994,"0hard/-462230soft"
22261,"0hard/-461840soft"
22489,"0hard/-461760soft"
22821,"0hard/-461720soft"
23124,"0hard/-461640soft"
23245,"0hard/-461440soft"
23472,"0hard/-460880soft"
23717,"0hard/-460840soft"
23735,"0hard/-460800soft"
24843,"0hard/-460700soft"
25123,"0hard/-460450soft"
25625,"0hard/-460370soft"
25943,"0hard/-460340soft"
26257,"0hard/-460300soft"
27254,"0hard/-460200soft"
27272,"0hard/-459640soft"
27326,"0hard/-459120soft"
27504,"0hard/-458770soft"
27595,"0hard/-458730soft"
27665,"0hard/-458380soft"
27845,"0hard/-458030soft"
28376,"0hard/-457910soft"
28586,"0hard/-457530soft"
28866,"0hard/-456970soft"
29244,"0hard/-456950soft"
29425,"0hard/-456890soft"
29620,"0hard/-456330soft"
29783,"0hard/-456260soft"
30298,"0hard/-456180soft"
30456,"0hard/-456010soft"
32788,"0hard/-455980soft"
32947,"0hard/-455880soft"
33838,"0hard/-455800soft"
34196,"0hard/-455730soft"
34304,"0hard/-455560soft"
34551,"0hard/-455530soft"
34782,"0hard/-455490soft"
34871,"0hard/-455460soft"
35074,"0hard/-455320soft"
35380,"0hard/-454970soft"
35649,"0hard/-454930soft"
35872,"0hard/-454270soft"
36372,"0hard/-453920soft"
36444,"0hard/-453820soft"
36849,"0hard/-453790soft"
36918,"0hard/-453720soft"
37330,"0hard/-453370soft"
37384,"0hard/-453210soft"
37753,"0hard/-453040soft"
38754,"0hard/-452870soft"
42016,"0hard/-452770soft"
42464,"0hard/-452730soft"
42555,"0hard/-452620soft"
42631,"0hard/-452540soft"
42649,"0hard/-452090soft"
43156,"0hard/-452060soft"
44219,"0hard/-451960soft"
46358,"0hard/-451610soft"
46901,"0hard/-451570soft"
46919,"0hard/-451220soft"
47463,"0hard/-451180soft"
48025,"0hard/-451040soft"
48485,"0hard/-451010soft"
49133,"0hard/-450660soft"
49995,"0hard/-450620soft"
50518,"0hard/-449940soft"
50573,"0hard/-449900soft"
50914,"0hard/-449770soft"
51597,"0hard/-449630soft"
51781,"0hard/-449600soft"
51960,"0hard/-449580soft"
53496,"0hard/-449350soft"
54081,"0hard/-449270soft"
54908,"0hard/-448920soft"
57859,"0hard/-448570soft"
59924,"0hard/-447950soft"
60274,"0hard/-447860soft"
60293,"0hard/-447820soft"
60456,"0hard/-447780soft"
61601,"0hard/-447700soft"
61637,"0hard/-447620soft"
61787,"0hard/-447580soft"
62116,"0hard/-447570soft"
63247,"0hard/-447550soft"
63453,"0hard/-447470soft"
64264,"0hard/-447450soft"
64645,"0hard/-447370soft"
64993,"0hard/-447280soft"
65413,"0hard/-447240soft"
65866,"0hard/-447050soft"
66756,"0hard/-446960soft"
68785,"0hard/-446740soft"
68803,"0hard/-446700soft"
69260,"0hard/-446600soft"
69388,"0hard/-446520soft"
69736,"0hard/-446310soft"
70023,"0hard/-445920soft"
71242,"0hard/-445880soft"
72970,"0hard/-445840soft"
75025,"0hard/-445740soft"
75239,"0hard/-445730soft"
75675,"0hard/-445560soft"
76834,"0hard/-445530soft"
77329,"0hard/-445370soft"
77384,"0hard/-445240soft"
78565,"0hard/-444890soft"
78821,"0hard/-444860soft"
79407,"0hard/-444760soft"
79496,"0hard/-444680soft"
80085,"0hard/-444580soft"
80562,"0hard/-444540soft"
81123,"0hard/-444160soft"
83443,"0hard/-444080soft"
84081,"0hard/-444040soft"
84194,"0hard/-444000soft"
85171,"0hard/-443860soft"
91229,"0hard/-443680soft"
91373,"0hard/-443640soft"
91428,"0hard/-443470soft"
91464,"0hard/-443260soft"
91971,"0hard/-442910soft"
94347,"0hard/-442900soft"
94455,"0hard/-442860soft"
95338,"0hard/-442840soft"
95643,"0hard/-442760soft"
95869,"0hard/-442670soft"
96479,"0hard/-442630soft"
96698,"0hard/-442590soft"
99358,"0hard/-442580soft"
