"timeMillisSpent","score"
7449,"0hard/-1065950soft"
7486,"0hard/-1065600soft"
7525,"0hard/-1065250soft"
7533,"0hard/-1064730soft"
7546,"0hard/-1064110soft"
7564,"0hard/-1063610soft"
7569,"0hard/-1063190soft"
7587,"0hard/-1062810soft"
7595,"0hard/-1061920soft"
7608,"0hard/-1061820soft"
7619,"0hard/-1061370soft"
7641,"0hard/-1060810soft"
7658,"0hard/-1060110soft"
7663,"0hard/-1059690soft"
7665,"0hard/-1058720soft"
7668,"0hard/-1058060soft"
7670,"0hard/-1058040soft"
7689,"0hard/-1057690soft"
7697,"0hard/-1057340soft"
7702,"0hard/-1056990soft"
7710,"0hard/-1056430soft"
7726,"0hard/-1055630soft"
7746,"0hard/-1055280soft"
7778,"0hard/-1054790soft"
7792,"0hard/-1054440soft"
7794,"0hard/-1053650soft"
7802,"0hard/-1052780soft"
7813,"0hard/-1052360soft"
7816,"0hard/-1051770soft"
7822,"0hard/-1051230soft"
7826,"0hard/-1050740soft"
7839,"0hard/-1050390soft"
7854,"0hard/-1049870soft"
7903,"0hard/-1049480soft"
7908,"0hard/-1048920soft"
7910,"0hard/-1048570soft"
7929,"0hard/-1048050soft"
7937,"0hard/-1047630soft"
7944,"0hard/-1047550soft"
7953,"0hard/-1047130soft"
7979,"0hard/-1046680soft"
7984,"0hard/-1046330soft"
8011,"0hard/-1045540soft"
8016,"0hard/-1045190soft"
8025,"0hard/-1044670soft"
8029,"0hard/-1044320soft"
8033,"0hard/-1043800soft"
8076,"0hard/-1043200soft"
8078,"0hard/-1042750soft"
8084,"0hard/-1042330soft"
8088,"0hard/-1041980soft"
8091,"0hard/-1041430soft"
8110,"0hard/-1041080soft"
8115,"0hard/-1040730soft"
8127,"0hard/-1039840soft"
8156,"0hard/-1039320soft"
8183,"0hard/-1038760soft"
8185,"0hard/-1038240soft"
8197,"0hard/-1037820soft"
8205,"0hard/-1037300soft"
8220,"0hard/-1036910soft"
8239,"0hard/-1036560soft"
8253,"0hard/-1036140soft"
8269,"0hard/-1035660soft"
8278,"0hard/-1035310soft"
8286,"0hard/-1035270soft"
8292,"0hard/-1034710soft"
8298,"0hard/-1034360soft"
8347,"0hard/-1034010soft"
8352,"0hard/-1033630soft"
8357,"0hard/-1033280soft"
8364,"0hard/-1032800soft"
8383,"0hard/-1032380soft"
8389,"0hard/-1031860soft"
8394,"0hard/-1031720soft"
8403,"0hard/-1031100soft"
8462,"0hard/-1030750soft"
8486,"0hard/-1030720soft"
8496,"0hard/-1030370soft"
8499,"0hard/-1030020soft"
8522,"0hard/-1029600soft"
8527,"0hard/-1029180soft"
8530,"0hard/-1028700soft"
8537,"0hard/-1028350soft"
8570,"0hard/-1028000soft"
8575,"0hard/-1027480soft"
8580,"0hard/-1027000soft"
8592,"0hard/-1026610soft"
8594,"0hard/-1026260soft"
8603,"0hard/-1025910soft"
8617,"0hard/-1025520soft"
8619,"0hard/-1025170soft"
8623,"0hard/-1024590soft"
8628,"0hard/-1024550soft"
8637,"0hard/-1024160soft"
